Vehicle ID,Vehicle Damage Extent,Vehicle Body Type,Vehicle Year,Vehicle Make,Vehicle Model
F28DA6F3-ECCB-4AE2-AD97-37B8E18AECC6,DESTROYED,PASSENGER CAR,2014,BMW,328
C66AECA5-DF30-44F6-96DD-99AFB599C99E,DESTROYED,(SPORT) UTILITY VEHICLE,2015,HONDA,CRV
1413BDF3-6CF6-4F96-A670-B820457680E6,SUPERFICIAL,,0,UNKNOWN,UNKNOWN
1E404D29-3C88-43C8-9188-698700A1F2B3,DISABLING,PASSENGER CAR,2019,TOYOTA,CAMRY
1588A4F6-8DE9-4970-923D-6B5C5D2E2A78,DISABLING,PASSENGER CAR,2015,MAZDA,CX-5
5D00F5B9-8950-419C-8E8C-6787EBBE2777,SUPERFICIAL,PASSENGER CAR,2015,TOYOTA,COROLLA
B77E71BB-040C-44A6-B089-CA2EADDB3456,SUPERFICIAL,PASSENGER CAR,2015,CHEVROLET,CRUZE
50E09E70-4DB2-4EF7-94BE-71FF55646E16,SUPERFICIAL,PASSENGER CAR,2005,TOYOTA,COROLLA
FBBD2B38-FBBC-466E-A724-67ADA902725E,SUPERFICIAL,PASSENGER CAR,2019,LEXSUS,RX350
679EEEE0-6933-48CB-A792-2BE044B85CD5,FUNCTIONAL,PASSENGER CAR,2011,TOYT,SU
37D9A8A1-184B-4A6B-A734-70F014A2089C,DISABLING,PASSENGER CAR,2007,CHEVY,EQUINOX
7E39DAEC-D3F8-42A9-837F-0A8CE11CDE1E,SUPERFICIAL,PASSENGER CAR,2016,CHEV,TK
7746EED8-9953-493E-BD71-219E14C7767D,SUPERFICIAL,PASSENGER CAR,2011,JEEP,UT
3673FD60-7403-45E0-BAE3-8EC71EF2546D,SUPERFICIAL,PASSENGER CAR,2016,TOYOTA,4S
6C902AD8-9CF2-4917-AF9A-395865223926,FUNCTIONAL,PASSENGER CAR,2009,ACURA,SD
90998958-487F-42C2-9916-9A6260D69B50,FUNCTIONAL,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",2001,FORD,F250
D9E9AB6B-A528-49D9-80B1-1B0532648018,DISABLING,(SPORT) UTILITY VEHICLE,2011,CHEVY,SUV
3E133CE9-4836-4D31-8EF2-7BD401794B14,DISABLING,(SPORT) UTILITY VEHICLE,2016,BMW,X5
C7D8ED1D-67A3-49FD-BC75-EA6B142D8663,FUNCTIONAL,PASSENGER CAR,2010,TOYOTA,PRIUS
33A86ADE-A451-4962-A337-E9AA4F98A078,FUNCTIONAL,PASSENGER CAR,2014,TOYT,4S
6B8C264D-9862-4A10-A762-0170D4431A62,FUNCTIONAL,PASSENGER CAR,2023,MERCEDES,BENZ
ED211573-C8DB-4BBC-AB58-5F671E59A148,DISABLING,PASSENGER CAR,2022,HONDA,CIVIC
1BB7E6A0-F2AE-48E5-AB8D-5B06F56D913C,SUPERFICIAL,"MEDIUM/HEAVY TRUCKS 3 AXLES (OVER 10,000LBS (4,536KG))",1995,GMC,DUMP TRUCK
34D796D5-9A04-42ED-9E5B-7C3532AFC152,DISABLING,PASSENGER CAR,2007,DODGE,CARAVAN
ED83145D-B209-469D-AA1D-E83FFF7793EF,FUNCTIONAL,PASSENGER CAR,2004,LINCOLN,TOWN CAR
2259E887-85C7-4714-891F-B2556AD1D006,DESTROYED,PASSENGER CAR,2008,BMW,328XI
B5C50947-5897-4EF2-A0A2-E3B27F504A3A,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN
6E4256DB-68E3-419D-B08F-5A11A5EC13C6,FUNCTIONAL,PASSENGER CAR,2013,TOYOTA,SIENNA
13087993-F7B1-470B-AE08-C94D65FA8A47,DISABLING,PASSENGER CAR,2012,NISSAN,ALTIMA
00888E8A-C6E3-4E62-BAA7-4627D099B6E5,DISABLING,PASSENGER CAR,2021,TOYOTA,HIGHLANDER
A1E8F3EA-3ADE-4E3F-B063-FC9D129B47C8,SUPERFICIAL,PASSENGER CAR,2013,HYUNDAI,ELANTRA
669B8908-76C1-4DCC-8655-B0B6213B88DE,DISABLING,PASSENGER CAR,2011,HYUND,SONATA
9B334CB6-36D5-4B7A-9AD8-BA84F5989B45,SUPERFICIAL,PASSENGER CAR,2017,HYUNDAI,ELANTRA
E251487A-E0FF-44B9-9FA0-1C6779288200,SUPERFICIAL,PASSENGER CAR,2013,FORD,TRUCK
CD6A9AE9-21D7-44A3-911B-49512AFE8B09,UNKNOWN,PASSENGER CAR,2021,MERC,C
E2415505-961D-454D-B0AE-5C2D1BC03DDD,FUNCTIONAL,PASSENGER CAR,2015,GMC,YUKON
3E9108F0-DF5E-4796-8F78-C2E075DB5675,FUNCTIONAL,PASSENGER CAR,2014,FORD,FUSION
D555276E-3AF9-45B0-8E14-C7E0D05E560E,SUPERFICIAL,PASSENGER CAR,2015,CHEVY,EQUINOX
94CA40B1-802C-4A90-AF82-2CE495151439,SUPERFICIAL,PASSENGER CAR,2013,HYUNDAI,ELANTRA
8BDE422F-76F9-4E07-8C26-0DC3971FAE12,FUNCTIONAL,STATION WAGON,2017,TOYT,TK
AE0980BB-BA73-4443-9818-813D14A4509A,DISABLING,(SPORT) UTILITY VEHICLE,2008,HOND,TK
0B0FCEA4-3F11-474C-9181-4C704F40A786,FUNCTIONAL,PASSENGER CAR,2022,NISSAN,ALTIMA
88B34112-FA0D-4A8E-AC20-71EA8DF835A1,DISABLING,PASSENGER CAR,2012,FORD,SD
87CE18BF-C8C8-4A70-8C64-90EB768537CA,SUPERFICIAL,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",2020,FORD,TRUCK
7DD13237-AF9E-453C-A7B1-39D7DAB15C7A,SUPERFICIAL,PASSENGER CAR,2003,MERZ,4D
63703290-822A-490C-A894-3848243EB157,SUPERFICIAL,PASSENGER CAR,2009,HONDA,CIVIC
48F72205-6A5F-4962-9884-0E15D6215905,SUPERFICIAL,PASSENGER CAR,2018,TOYOTA,COROLLA
3F00A828-DB1B-49C6-BAA2-93362A896FBC,UNKNOWN,,0,UNKNOWN,UNKNOWN
1B3E38FD-2816-4264-91C3-006DC15455B1,SUPERFICIAL,TRANSIT BUS,2017,GILG,BU
56112EAD-CF90-44A2-A7FD-23CA65A187D2,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN
0E2579C4-6531-4E23-8A8C-FB13B9E3DFCE,NO DAMAGE,"MEDIUM/HEAVY TRUCKS 3 AXLES (OVER 10,000LBS (4,536KG))",2017,FRT,TR
3BF5440C-E355-4E0E-82BB-B1C0142F2C53,NO DAMAGE,TRANSIT BUS,2008,GILL,BU
B213A0B9-F0F2-4785-ACF7-829F6A5874CA,UNKNOWN,,0,UNKNOWN,UNKNOWN
B6ADAF30-7434-4059-A941-CB352E19DD2E,DISABLING,PASSENGER CAR,1992,FORD,TAURUS
30AD1AC8-53F1-4D22-A0B3-7B8FF4CD7BE8,DISABLING,PASSENGER CAR,2010,INFI,G37X
4894F0CB-9F4E-4487-BF57-854ED325423E,FUNCTIONAL,PASSENGER CAR,2013,FORD,4S
F4660736-0361-492D-A336-71133CEAD5F2,SUPERFICIAL,POLICE VEHICLE/EMERGENCY,2018,CHEV,UT
132D52BF-1373-4C37-B284-2C9329202CA2,DISABLING,PASSENGER CAR,2022,NISS,HB
FB34EC3D-5D3D-4B24-A99A-40592641F695,DISABLING,PASSENGER CAR,2023,GENS,UT
B1301965-8EEF-440A-B0A3-AFA20D253413,DISABLING,PASSENGER CAR,2007,HOND,ACCORD
E0454131-C57D-4F91-80FB-259A07FC6582,FUNCTIONAL,PICKUP TRUCK,2000,CHEV,TK
B19B258D-EB96-48CD-9096-BD2E0BA48027,SUPERFICIAL,(SPORT) UTILITY VEHICLE,2018,BMW,TK
